purchase_external_id,attachment_path,tz_extraction_status,tz_extraction_reason,tz_text_len,tz_match_type,strict_full_match,tz_overlap_ratio,margin_pct,decision_status,decision_reason
10208354,,skipped,excluded_non_goods,0,skipped,False,0.0,,excluded,excluded_non_goods
10208353,exports/tz_files_auction/10208353/Техническое задание.docx,ok,,18272,none,False,0.0065,-24.91,reject,strict_full_match_required:none
10208353,exports/tz_files_auction/10208353/Техническое задание.docx,ok,,18272,none,False,0.0104,-6.99,reject,strict_full_match_required:none
10208353,exports/tz_files_auction/10208353/Техническое задание.docx,ok,,18272,none,False,0.0091,0.0,reject,strict_full_match_required:none
10208336,,skipped,excluded_non_goods,0,skipped,False,0.0,,excluded,excluded_non_goods
10208352,,skipped,excluded_non_goods,0,skipped,False,0.0,,excluded,excluded_non_goods
10208352,,skipped,excluded_non_goods,0,skipped,False,0.0,,excluded,excluded_non_goods
10208351,exports/tz_files_auction/10208351/Приложение №1 к Договору (Техническое задание).docx,ok,,13281,none,False,0.0059,0.0,reject,strict_full_match_required:none
10208351,exports/tz_files_auction/10208351/Приложение №1 к Договору (Техническое задание).docx,ok,,13281,none,False,0.0,-993.75,reject,strict_full_match_required:none
