purchase_external_id,item_name,tender_unit_price_ref,offer_source_url,market_unit_price,collected_at,tz_extraction_status,tz_extraction_reason,tz_attachment_path,tz_text_len,tz_match_type,tz_overlap_ratio,strict_full_match,found_offer_unit_price,margin_pct,decision_status,risk_level,decision_reason
10208353,Стенд ProfMarker Гражданская оборона ГО и ЧС 100х75 см,2790.0,https://zakupki.mos.ru/auction/10208353,,2026-05-22T07:27:55.695031+00:00,ok,,exports/tz_files_auction/10208353/Техническое задание.docx,18272,none,0.0065,False,,,reject,critical,strict_full_match_required:none
10208353,"Стенд информационный   ProfMarker "" ""Пожарная безопасность"" , красный, 900х740 мм., 1 карман А4",2790.0,https://zakupki.mos.ru/auction/10208353,,2026-05-22T07:27:55.695031+00:00,ok,,exports/tz_files_auction/10208353/Техническое задание.docx,18272,none,0.0104,False,,,reject,critical,strict_full_match_required:none
10208353,"Стенд информационный  ""ПолиЦентр"" ""Воинский Учет"" 740х780 мм с 6 карманами А4",2790.0,https://zakupki.mos.ru/auction/10208353,,2026-05-22T07:27:55.695031+00:00,ok,,exports/tz_files_auction/10208353/Техническое задание.docx,18272,none,0.0091,False,,,reject,critical,strict_full_match_required:none
10208351,"Зажим прокалывающий ""Тайко Электроникс РУС"" Al/Cu 10-50 мм2 / Al/Cu 1.5-10 мм2",320.0,https://zakupki.mos.ru/auction/10208351,,2026-05-22T07:27:55.695031+00:00,ok,,exports/tz_files_auction/10208351/Приложение №1 к Договору (Техническое задание).docx,13281,none,0.0059,False,,,reject,critical,strict_full_match_required:none
10208351,Колодка клеммная EKF plc-jxb-10/35gy JXB-10/3 серая 70А 50 шт,320.0,https://zakupki.mos.ru/auction/10208351,,2026-05-22T07:27:55.695031+00:00,ok,,exports/tz_files_auction/10208351/Приложение №1 к Договору (Техническое задание).docx,13281,none,0.0,False,,,reject,critical,strict_full_match_required:none
